user_name,task_id,title,task_type_raw,task_type,difficulty_raw,difficulty,estimated_minutes_user,ai_estimated_minutes_at_registration,correction_factor_at_registration,log_correction_at_registration,estimate_stage,actual_minutes,planning_error_ratio_actual_div_user_estimated,clamped_planning_error_ratio,log_ratio,clamped_log_ratio,update_stage,dropped,drop_reason,completed_count_before,user_global_before,user_global_after,type_residual_after,difficulty_residual_after,folder_residual_after,type_count_after,difficulty_count_after,folder_count_after
세진,1,알고리즘 - 수학 공부,분량형,QUANTITY_BASED,모름,UNKNOWN,90.0,160.37,1.7819,0.5777,RULE,233.0,2.5889,2.5889,0.9512,0.9512,AVERAGE_BASELINE,False,,0,,0.546,"{""QUANTITY_BASED"": 0.07470859239479798}","{""UNKNOWN"": 0.05603144429609847}",{},"{""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1}",{}
세진,2,알고리즘 - 이분탐색 공부,분량형,QUANTITY_BASED,모름,UNKNOWN,60.0,107.03,1.7838,0.5787,RULE_AVERAGE_BLEND,227.0,3.7833,3.7833,1.3306,1.3306,AVERAGE_BASELINE,False,,1,0.546,0.7029,"{""QUANTITY_BASED"": 0.19008908223645002}","{""UNKNOWN"": 0.1453683838921424}",{},"{""QUANTITY_BASED"": 2}","{""UNKNOWN"": 2}",{}
세진,4,캡디 자료조사 하기,만족형,SATISFACTION_BASED,중,MEDIUM,150.0,298.76,1.9917,0.689,RULE_AVERAGE_BLEND,184.0,1.2267,1.2267,0.2043,0.2043,AVERAGE_BASELINE,False,,2,0.7029,0.6032,"{""QUANTITY_BASED"": 0.19008908223645002, ""SATISFACTION_BASED"": -0.1477232316928251}","{""UNKNOWN"": 0.1453683838921424, ""MEDIUM"": -0.11079242376961883}",{},"{""QUANTITY_BASED"": 2, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1}",{}
세진,5,악성 코드 조사 및 정리하기,분량형,QUANTITY_BASED,하,LOW,90.0,125.68,1.3964,0.3339,RULE_AVERAGE_BLEND,113.0,1.2556,1.2556,0.2276,0.2276,AVERAGE_BASELINE,False,,3,0.6032,0.5281,"{""QUANTITY_BASED"": 0.10114821740876906, ""SATISFACTION_BASED"": -0.1477232316928251}","{""UNKNOWN"": 0.1453683838921424, ""MEDIUM"": -0.11079242376961883, ""LOW"": -0.038192286285293225}",{},"{""QUANTITY_BASED"": 3, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1, ""LOW"": 1}",{}
세진,8,알고리즘 - 이진 검색 트리,분량형,QUANTITY_BASED,모름,UNKNOWN,60.0,108.45,1.8075,0.592,RULE_AVERAGE_BLEND,56.0,0.9333,0.9333,-0.069,-0.069,AVERAGE_BASELINE,False,,4,0.5281,0.4087,"{""QUANTITY_BASED"": -0.06509406875110292, ""SATISFACTION_BASED"": -0.1477232316928251}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": -0.11079242376961883, ""LOW"": -0.038192286285293225}",{},"{""QUANTITY_BASED"": 4, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1}",{}
세진,10,워게임 rev-basic 9문제 풀기,분량형,QUANTITY_BASED,상,HIGH,150.0,209.7,1.398,0.335,RULE_AVERAGE_BLEND,166.0,1.1067,1.1067,0.1014,0.1014,AVERAGE_BASELINE,False,,5,0.4087,0.3472,"{""QUANTITY_BASED"": -0.09313629599392909, ""SATISFACTION_BASED"": -0.1477232316928251}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": -0.11079242376961883, ""LOW"": -0.038192286285293225, ""HIGH"": -0.030795780744785055}",{},"{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1, ""HIGH"": 1}",{}
세진,14,운체보 개념 이해,만족형,SATISFACTION_BASED,중,MEDIUM,240.0,467.46,1.9477,0.6667,RULE_AVERAGE_BLEND,1000.0,4.1667,4.0,1.4271,1.3863,AVERAGE_BASELINE,False,,6,0.3472,0.555,"{""QUANTITY_BASED"": -0.09313629599392909, ""SATISFACTION_BASED"": 0.04164095522322317}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": 0.025691095228936423, ""LOW"": -0.038192286285293225, ""HIGH"": -0.030795780744785055}",{},"{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 2, ""LOW"": 1, ""HIGH"": 1}",{}
세진,16,멀코컴 03 정리 마무리,분량형,QUANTITY_BASED,중,MEDIUM,40.0,57.23,1.4308,0.3582,RULE_AVERAGE_BLEND,73.0,1.825,1.825,0.6016,0.6016,AVERAGE_BASELINE,False,,7,0.555,0.5643,"{""QUANTITY_BASED"": -0.04659627915024384, ""SATISFACTION_BASED"": 0.04164095522322317}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": 0.04277199917827053, ""LOW"": -0.038192286285293225, ""HIGH"": -0.030795780744785055}",{},"{""QUANTITY_BASED"": 6, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 3, ""LOW"": 1, ""HIGH"": 1}",{}
세진,17,멀코컴 04-1 강의 정리,분량형,QUANTITY_BASED,중,MEDIUM,90.0,130.28,1.4476,0.3699,RULE_AVERAGE_BLEND,311.0,3.4556,3.4556,1.24,1.24,AVERAGE_BASELINE,False,,8,0.5643,0.6995,"{""QUANTITY_BASED"": 0.1164538337586273, ""SATISFACTION_BASED"": 0.04164095522322317}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": 0.15165434211064674, ""LOW"": -0.038192286285293225, ""HIGH"": -0.030795780744785055}",{},"{""QUANTITY_BASED"": 7, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 1, ""HIGH"": 1}",{}
세진,19,멀코컴 과제 1,분량형,QUANTITY_BASED,하,LOW,180.0,267.99,1.4889,0.398,RULE_AVERAGE_BLEND,367.0,2.0389,2.0389,0.7124,0.7124,AVERAGE_BASELINE,False,,9,0.6995,0.702,"{""QUANTITY_BASED"": 0.1199521037330379, ""SATISFACTION_BASED"": 0.04164095522322317}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": 0.15165434211064674, ""LOW"": -0.01237166579789721, ""HIGH"": -0.030795780744785055}",{},"{""QUANTITY_BASED"": 8, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 2, ""HIGH"": 1}",{}
세진,20,멀코컴 04-2 강의 정리,분량형,QUANTITY_BASED,중,MEDIUM,45.0,71.59,1.591,0.4643,RULE_AVERAGE_BLEND,67.0,1.4889,1.4889,0.398,0.398,AVERAGE_BASELINE,False,,10,0.702,0.6412,"{""QUANTITY_BASED"": 0.05375793885859645, ""SATISFACTION_BASED"": 0.04164095522322317}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": 0.09725338269817432, ""LOW"": -0.01237166579789721, ""HIGH"": -0.030795780744785055}",{},"{""QUANTITY_BASED"": 9, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 5, ""LOW"": 2, ""HIGH"": 1}",{}
나영,1,데사 2주차 공부,만족형,SATISFACTION_BASED,모름,UNKNOWN,160.0,397.76,2.486,0.9107,RULE,621.0,3.8813,3.8813,1.3562,1.3562,AVERAGE_BASELINE,False,,0,,0.627,"{""SATISFACTION_BASED"": 0.08909428908764126}","{""UNKNOWN"": 0.06682071681573094}",{},"{""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 1}",{}
나영,2,건여 3주차 2번째 영상,분량형,QUANTITY_BASED,하,LOW,40.0,55.33,1.3834,0.3245,RULE_AVERAGE_BLEND,35.0,0.875,0.875,-0.1335,-0.1335,AVERAGE_BASELINE,False,,1,0.627,0.4749,"{""SATISFACTION_BASED"": 0.08909428908764126, ""QUANTITY_BASED"": -0.12790230059472193}","{""UNKNOWN"": 0.06682071681573094, ""LOW"": -0.09592672544604146}",{},"{""SATISFACTION_BASED"": 1, ""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1, ""LOW"": 1}",{}
나영,3,데사 3주차 공부,만족형,SATISFACTION_BASED,중,MEDIUM,130.0,258.15,1.9858,0.686,RULE_AVERAGE_BLEND,510.0,3.9231,3.9231,1.3669,1.3669,AVERAGE_BASELINE,False,,2,0.4749,0.6533,"{""SATISFACTION_BASED"": 0.2016751243717978, ""QUANTITY_BASED"": -0.12790230059472193}","{""UNKNOWN"": 0.06682071681573094, ""LOW"": -0.09592672544604146, ""MEDIUM"": 0.09779976982626358}",{},"{""SATISFACTION_BASED"": 2, ""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1, ""LOW"": 1, ""MEDIUM"": 1}",{}
나영,10,연구 데이터셋 돌리기,분량형,QUANTITY_BASED,중,MEDIUM,90.0,128.81,1.4312,0.3585,RULE_AVERAGE_BLEND,87.0,0.9667,0.9667,-0.0339,-0.0339,AVERAGE_BASELINE,False,,3,0.6533,0.5158,"{""SATISFACTION_BASED"": 0.2016751243717978, ""QUANTITY_BASED"": -0.22115765138212384}","{""UNKNOWN"": 0.06682071681573094, ""LOW"": -0.09592672544604146, ""MEDIUM"": -0.00599705382743565}",{},"{""SATISFACTION_BASED"": 2, ""QUANTITY_BASED"": 2}","{""UNKNOWN"": 1, ""LOW"": 1, ""MEDIUM"": 2}",{}
나영,11,캡디 UI 1차 수정,분량형,QUANTITY_BASED,중,MEDIUM,40.0,56.66,1.4165,0.3482,RULE_AVERAGE_BLEND,55.0,1.375,1.375,0.3185,0.3185,AVERAGE_BASELINE,False,,4,0.5158,0.4764,"{""SATISFACTION_BASED"": 0.2016751243717978, ""QUANTITY_BASED"": -0.1978037132719329}","{""UNKNOWN"": 0.06682071681573094, ""LOW"": -0.09592672544604146, ""MEDIUM"": -0.020755689877995677}",{},"{""SATISFACTION_BASED"": 2, ""QUANTITY_BASED"": 3}","{""UNKNOWN"": 1, ""LOW"": 1, ""MEDIUM"": 3}",{}
